call_id,objection_idx,texto_objecion,texto_respuesta,sentimiento_antes,sentimiento_despues,latencia_respuesta_s
C017,1,"Eh, sí, ya queda para el veinticinco, pero la verdad no, no, no pude cuadrarlo hasta aquí de mañana. Sí, señor. Pues, si yo puedo, lo hago mañana, si no, la otra semana que viene. ¿Me escuchaste?",¿Para qué día realizaría el pago?,0.0417,-0.0585,1.671
C018,1,"¿Aló? ¿Yo no vengo acá ya? Sí, aquí estoy Le comento que con el descuento del 1 % de toda la deuda, si llega a la tienda, hable más rápido que estoy ocupado.",Entendido. ¿Me permite presentarle la propuesta de acuerdo entonces?,-0.0343,0.0679,
C019,1,¿Podrían llamar más tardecito para poder comunicarme bien con usted?,"Comprendo, no me podría comunicar dentro de una hora.",0.0143,-0.0169,1.839
C020,1,"Sí, señora, lo que pasa es que no, no, no pude hacer el pago porque se me presentó una calamidad, entonces no pude.",Entonces en este caso ¿Cuándo realizaríamos el pago?,-0.9206,-0.1763,0.0
C021,1,Porque no cuento con el dinero.,"Entiendo perfectamente, señor. La propuesta contempla el pago en una sola cuota. Pero quisiera saber si en algún momento del mes podría contar con los recursos para ponerse al día y evitar un proceso legal.",-0.4558,-0.1492,1.653
C023,1,"Póngame cuidado, póngame cuidado. Yo no he realizado ningún pago porque el señor que me llamó que día no se dejó hablar y yo pensé que era que el primer pago lo podía hacer el 20 del otro mes y entonces ya cuando le voy a decir él me colgó y porque para este día no tengo la plata, pero para el 20 del otro mes ya puedo comenzar a pagar el primer pago. Ok, el señor no se dejó hablar, se dio una notifica cargada y no se va a hablar nada.","Sí, señor. Entonces ya voy a notificar a la descargada. Le agradezco mucho. Y",-0.6717,-0.2151,1.688
C024,1,"Aló, muy buenos días. Buenos días. Buenas, por favor. Estamos llamando por motivo de un proceso legal en curso. Por confidencialidad, necesito que, por favor, me valide si eso es. ¿Por qué? Es por confidencialidad de la información financiera. Solo puedo proporcionarle detalles si confirmo que hablo directamente con usted. Es usted. Sí, cuéntenme. Le hablamos del área de embargos, judicializaciones y alivios financieros. Le llamo por su obligación. ¿Cómo me levanto? ¿Con qué? Permítame atender sus dudas. ¿Me escucha, Mamian? Sigue ahí.","Aló, muy buenos días. Buenos días. Buenas, por favor. Estamos llamando por motivo de un proceso legal en curso. Por confidencialidad, necesito que, por favor, me valide si eso es. ¿Por qué? Es por confidencialidad de la información financiera. Solo puedo proporcionarle detalles si confirmo que hablo directamente con usted. Es usted. Sí, cuéntenme. Le hablamos del área de embargos, judicializaciones y alivios financieros. Le llamo por su obligación. ¿Cómo me levanto? ¿Con qué? Permítame atender sus dudas. ¿Me escucha, Mamian? Sigue ahí.",,,
C025,1,Es que no sé de qué obligación me está hablando.,"Claro, permítame atender sus dudas. Señor, se trata de su obligación que Trozan Services adquirió. Esta deuda se originó el 27 de diciembre de 2017 por $8 .500 .000. Actualmente lleva 459 días en mora y el saldo total es de $14 .010 .000. ¿Pero de qué me habla?",-0.8137,-0.8603,1.215
C026,1,"Que no me parece muy alto porque no tengo toda esa cantidad. pues o sea para sacarla así cuatro millones de una no puedo sería ese, o sea tocaría pagarlo por cuotas o yo qué sé tocaría en cuotas, pero ustedes me cogen y me dicen no es que toca pagar ya cuatro millones, no, yo no puedo sacar cuatro millones así de la noche a la mañana yo la vez pasada le hice dos acuerdos de pago dos millones en uno y ya para la segunda acuerda me quedé porque no tuve He tenido la intención, pero no he podido. Para el segundo acuerdo de pago volví, hice otro acuerdo y pagué otros dos millones y volví, me quedé porque siempre me quedé para la segunda cuota. Y pues no, la verdad no puedo hacer otro acuerdo de pago. Tocaría dejarlo en cuotas al menos más bajas. Y si no volví, me pasa lo mismo. lo","entiendo perfectamente y le agradezco su honestidad precisamente por eso tenemos la opción de dividirlo en dos cuotas de 2 millones 180 mil pesos cada una, para hacerlo más manejable, ¿le parece que podemos trabajar con esa opción?",-0.6549,-0.2526,4.0
C026,2,"no, está muy encima para pagarla ahorita de... porque eso sería pasado mañana, pasado mañana el viernes, no, tendría que ser más adelante, por ahí para el 15 de agosto para la quincena, aló, aló, aló, aló sí,","queda muy corto, sin embargo, la primera cuota debe quedar dentro de este mes, a más tardar podría comprometerse con el 31 de julio para la primera cuota",-0.087,0.1084,0.389
C026,3,"Lo que pasa es que yo antes les debía, me habían hecho dos propuestas de cuatro millones, dos cuotas de dos millones algo y no entiendo por qué ahora me dicen que cuatro millones y la despasa les iba a pagar cinco millones porque fueron dos cuotas de dos millones quinientos y ahorita volvió a subir, entonces me parece como que no. Yo sé que estoy colgado en todo ese tema, pero no, pues para salir de una vez, o me pueden dejar dos, tres cuotas de $1 .500 .000 y de una vez salimos de eso.","Le entiendo perfectamente. Lamentablemente la propuesta que tenemos aprobada no me permite ajustar los valores por debajo de lo que ya le presenté. Las únicas opciones disponibles son las que el sistema ya le ofreció. Podría comprometerse con alguna fecha dentro de la primera cuota, aunque sea el 31, que estas opciones no le sirvan. Pero tranquilo, puedo proponerle otra cosa. Le puedo ofrecer un acuerdo de largo plazo. No habría descuento, pero usted puede poner el valor de la cuota. Con esto se para cualquier proceso legal y sobre todo la llamadera. Para dejar registro, ¿cuánto sería lo máximo que podría pagar mes a mes que se acomode a su presupuesto?",-0.7562,-0.479,6.585
C027,1,Porque no pude conseguir la plata porque estoy desempleado en el momento.,"Señor, pero esta es la oportunidad de que usted quede al día con su obligación. Ya son 60 mil pesos y ya quedaría a paz y salvo. 60 mil pesos.",-0.9362,0.372,1.434
C027,2,así como le digo que estoy desempleado no es que me quede difícil,comprendemos pero usted ya le aplicó un descuento sobre el valor de su deuda y con solo 60 mil pesos quedaría el día ¿para cuándo usted podría realizar este pago para no que no pierda los beneficios?,-0.3434,-0.0478,
C029,1,muy alta porque yo tampoco debo toda esa plata Entiendo Yo lo que debo son 1 .500 .000 y la muchacha me dijo que con el millón de pesos yo podía saldar y yo le dije bueno ¿qué tengo que hacer? Me dijo que tenía que mandar una carta pasando la propuesta de pago y esperando la respuesta sino que empecé a trabajar con una viajera que me cortó la comunicación y quedé pendiente que ella me regalara el correo y todo a donde yo podía mandar esa,"La entiendo y lamento la confusión con la llamada anterior, pero lo que sí le puedo decir es que hoy la propuesta aprobada en nuestro sistema es la que le presenté y no podemos ir por debajo de ese valor. está en modificarla. Le gustaría que la revisemos juntos para ver si podemos encontrar una forma de que le quede manejable.",-0.0898,-0.1974,3.543
C029,2,"No, no, yo porque me llaman y eso no, no, no, no tengo, no tengo pues problema por, por eso. Mientras que pueda contestar yo contesto, sino que sí, sí se me hace muy, muy elevado pues el valor en el cual pues están dejando la deuda, porque yo sé que se puede negociar un valor menos.","Entiendo, pero le soy honesto, el valor que le presenté es el mínimo que el sistema nos aprueba hoy, no está en mis manos bajarlo más. ¿Usted con cuánto podría comprometerse menos?",-0.125,-0.8117,2.683
C030,1,"Con Sintegru, ¿qué es eso?",Queremos ofrecerle un descuento del 26 % de toda la deuda. Con el descuento ya no debería 3 .460 .000 pesos sino solo 2 .560 .000 pesos Es una propuesta por tiempo limitado que vencería hoy mismo.,-0.2866,,1.586
C031,1,"Ahora porque estoy trabajando Si usted quiere me llama a la una Por favor, qué pena De","acuerdo Pero el correo está correcto ¿Cómo, cómo? Su correo está correcto Tengo registrado el correo jesuspallejo3112 arroba gmail punto com Sí,",-0.9509,-0.0258,0.557
C033,1,"Sí, pero nunca me llegó la la esta a mi WhatsApp. este",A mismo número. Acá estoy viendo.,-0.5892,-0.1077,
C037,1,"una entidad es lo único que hace es quitarle la plata a la gente y si me dieron un préstamo por 5 millones de pesos, ¿por qué voy a estar debiendo 14 millones? y entonces toda la plata que yo le he pagado a la entidad por esa sencilla razón no voy a pagar un peso más, embarguen hagan lo que quieran ¿si me entiendes? por esa sencilla razón porque yo no tengo la plata, yo no me la gano para regalarla a una entidad Le",entiendo perfectamente y su molestia es completamente válida.,-0.8987,-0.5719,5.147
C037,2,"no voy a seguir regalando plata a una entidad me da mucha pena, los propietarios son ricos y las empresas O sea, tienen muchísima plata. Y yo sí me toca tragar por un mínimo y ganarme la plata para poder arreglar una empresa. Entonces no voy a pagar un peso más. Es mi posición y ya. Si quiere busquen, embarguen, hagan lo que quieran, pero yo no... La verdad no le voy a pagar un peso más a eso. Ponerme en mi plática.",Le entiendo completamente.,-0.9066,0.5659,2.883
C038,1,"Quedé debiendo a 300, 320 mil pesos y ¿por qué va en todo eso?","Sí, señora. ¿A usted le pidieron algún documento en que le di valores acerca de esa mora?",-0.75,-0.8563,1.502
C038,2,"¿Pero cuál proceso señor, que si yo no quede viendo sino 320 mil pesos, ¿qué proceso le van a hacer a una persona por 320 mil pesos?","Sí señora, lo que sucede es que en su momento, para el año que usted inició la tarjeta eso fue el valor que usted en su saldo de acuerdo a sus cuentas sin embargo esto genera intereses genera gastos moratorios y demás con el transcurso de los días ¿sí señora? lastimosamente son las deudas que en nuestro país cuando uno adquiere un producto financiero ¿sí señora?",-0.8359,-0.958,0.18
C038,3,"pero muy terrible muy terrible porque son muy abusivos o sea, de verdad ¿Verdad? O sea, uno quiere pagar y todo, pero es que son muy abusivos. ¿Cómo van a cobrar por 300 mil pesos, 2 millones y pucho?","Señora, aquí me registra que la deuda del pago a capital de esa tarjeta era de 1 millón 697 mil pesos. sé si el presidente tenga algún extracto, algún documento donde diga que solamente debe ese valor.",-0.9766,-0.3293,1.654
C040,1,"Hoy le queremos brindar... Escúchame primero, le voy a hacer una pregunta. Dicen que yo saqué una tarjeta, pero yo no me acuerdo de yo haber sacado esa tarjeta.",Entiendo su duda. La deuda corresponde... Permítame atender sus dudas. La obligación se originó el 24 de octubre de 2021 por un monto inicial de $1 .330 .000.,-0.0233,-0.914,2.295
C040,2,"después de 30, porque 30 es que yo cobro, 30. Ese es el gran problema que hay.",Entiendo. Me está diciendo que no puede comprometerse con los 2 .110 .000 pesos.,-0.4489,-0.0331,0.0
C043,1,"Mire todo lo que sea pues que sea un acuerdo para bien y sobre todo si beneficia sería bienvenido pero lo que pasa es que en este momento yo le digo a usted que sí, yo no tengo esa plata entonces si una persona seria y coherente no se va a poner a engañar a otra persona ya o por salir del paso ni nada de eso ya Ya, díganme, ¿cómo puedo yo irles abonando? Y yo me comprometo, pero esa plata yo no la tengo porque yo no tengo en este momento un trabajo estable.","Señor Pino, le agradezco la honestidad. Eso habla muy bien de usted. Precisamente para eso tenemos la opción de pagarlo en dos cuotas. ¿Le explico cómo funcionaría?",-0.1306,0.0454,3.375
C043,2,"pero es que vuelvo y le digo es decir deme un abono razonable ¿no es cierto? razonable, porque pues si yo le doy un millón, pues yo sostengo dos casas mi mamá y una mujer que tiene 92 años y está en estos momentos está ciega por un trauma que recibió en la cabeza y mi casa entonces por eso le digo yo toda esa plata no la tengo Yo sí quiero, no es cierto, yo no pretendo jamás en un momento eludir la deuda ni nada de eso, pero lo que yo me gano no me da para todo eso. Dígame una cuota moderada que yo le pueda decirle sí, me comprometo y tal día le hago el primer abono, pero una cuota que sea moderada, que sean mis posibilidades.","Señor Pino, entiendo perfectamente su situación y le agradezco su transparencia. Lamentablemente, las dos cuotas que le presenté son la única opción disponible y aprobada que tenemos para usted hoy. Señor Pino, entiendo. Sin embargo, con este descuento del 12 por ciento, su deuda a sólo 2 millones 500 mil pesos y puede pagarla hasta en dos cuotas. Señor Pino, es el mejor descuento que creo podría conseguir sobre esta deuda. Desea reconsiderarlo. Por favor, indíqueme con un sí o no.",-0.2294,0.0953,3.172
C044,1,No he podido levantar esos doscientos sesenta mil pesos.,"Comprendo, señor. ¿Para cuándo se realizaría el pago para que no pierda los beneficios?",-0.7857,-0.0453,
C045,1,"No, señorita, no tengo tiempo.","Gracias por confirmarlo. Como ya lo han hecho muchos clientes en su misma situación, regularizar esta obligación hoy es más sencillo de lo que parece. Por este motivo queremos poder ofrecerle alternativas para ponerse al día con su deuda. ¿Le interesa? Entiendo que esta situación no sea agradable. Lo entiendo, y es más, precisamente por eso la llamamos. Porque tenemos una propuesta con un descuento importante para que pueda resolver esto de la manera más cómoda posible. Le doy los detalles.",-0.3826,,4.843
C047,1,"No, mi amor, no me sirvió ese acuerdo de pago.","¿Por qué, señor Más? Usted llegó a un acuerdo de un pago único de siete millones cuatrocientos diez mil para que salvo pero tengo los siete millones de pesos comprendo señor más ya que sea un acuerdo a largo plazo para pagar a cuotas para que le quede facilidad de pago y",-0.6765,-0.0474,0.878
C047,2,"No, no me da porque yo en este momento estoy desempleado.","señor Masi ¿cuánto se podría usted comprometer a pagar mes a mes, lo podríamos validar con comité? sí, sí señor, ¿cuánto se puede comprometer a pagar usted mes a mes y lo podríamos validar con comité? para mal como",-0.682,-0.1099,2.11
C048,1,"Digamos, este acuerdo se enviaría por mediante correo, whatsapp. ¿Cómo me puedo cerciorar yo que sí me están llamando del banco?","Señor Fry, entiendo su preocupación. Le comento que soy un asistente virtual automatizado de Factorin, que es la empresa que maneja su cartera. El acuerdo se documenta directamente en nuestro sistema cuando usted confirma los términos, como acabamos de hacer. Para cualquier consulta sobre el acuerdo puede comunicarse directamente con nosotros. ¿Tiene alguna otra pregunta sobre el proceso de pago? Perfecto, señor Fry. Su acuerdo está confirmado entonces. Entonces, muchas gracias por su tiempo y que tenga un excelente día.",-0.2036,,2.211
C049,1,Entonces me queda muy difícil.,"Aproximadamente en 418 .500, aproximadamente, si se le difiere a dos cuotas. Como la alternativa en la que yo le puedo colaborar o la que el comité ya me dejó fue establecida para su crédito.",-0.8492,-0.717,0.0
C049,2,"me queda muy complicado ya pagar ese valor. La verdad es que estoy solucionando con todo el mundo, que no es la única entidad con la que estoy en estos momentos con un compromiso tan...","en este tema y en vez de ir disminuyendo la obligación va a ir incrementando el momento que se vaya a presentar una propuesta de pago por lo que si usted detectó un incumplimiento pues ya no le va a habilitar las mismas opciones de pago, ya va a ir sobre el saldo total y se lo va a dividir esa cuota es la realidad pues igual ya",-0.9511,-0.1591,
C050,1,"No, pero yo en este momento no tengo para pagar todo eso.",Comprendo ¿Cuál sería frente a su capacidad de pago? ¿Para qué? ¿Para validar una opción de pago diferida a cuotas?,-0.4779,-0.4646,1.097
C052,1,Listo. Se demora mucho porque la verdad es que estoy aquí ya a punto de salir.,Entiendo que tiene prisa. Sí.,0.2053,0.0295,0.726
C052,2,"No, hoy mismo no. No, no se ponga eso, póngale los otros zapatos, que con eso se desenreda. ¿Lo escucha?","Entiendo, señor. La primera cuota no tiene que ser hoy, puede ser hasta el 5 de junio, es decir, pasado mañana. ¿Usted podría comprometerse a pagar la...",-0.079,-0.8008,
C053,1,plata no les debo. No recuerdo de él es plata.,Entiendo señor Osorno.,-0.1826,,3.561
C054,1,"Desempleo. Esa es mi situación, desempleo. Por eso, en este momento no me puedo acoger a ningún beneficio. Hoy en día no lo puedo hacer.","Lamento mucho su situación, señor. Entiendo que es un momento muy difícil. O",-0.9427,-0.4311,3.358
C054,2,"Te repito, hasta que yo no tenga un empleo con un salario fijo, no me puedo en este momento comprometer con una cuota mensual porque no tengo ingresos fijos.","Veo que dada la situación, hoy no se puede comprometer a un acuerdo, ¿correcto? Bueno, veo que no hemos podido aún llegar a un acuerdo, Pero entiendo que de todos modos a usted le interesa que solucionemos esto, ¿correcto? Podemos sacarlo de centrales, darle un PAS y salvo anticipado, entre otras cosas. Dígame algo, ¿qué lo motivaría a usted a llegar a un acuerdo de pago? ¿O qué podríamos hacer desde Reconectemos para solucionar esto juntos?",-0.7042,-0.9392,1.957
C056,1,"Esto señorita es que ustedes me llaman y me dicen y yo me quedo esperando a donde tengo que ir a hacer el pago, me dicen que me lo envían y nunca me llega nada",Es decir que el acuerdo que se gestionó no les llegó a su correo electrónico No,-0.9171,-0.8654,0.596
C056,2,"Sí, señora. Vení, a mí no me hacen más rebajas.","Pues, ¿qué pasa? Como ese valor ya se pasó como tal directamente a comité. Ese es el valor que ya está aprobado y preaprobado desde el mes de julio. De hecho, el acuerdo está desde el 31 de julio y se le ha sostenido hasta el mes de agosto, hasta el día de mañana, 15 de agosto, ese comité que se aprobó. Eso pasa por gerencia. Entonces, por esa razón se le ha sostenido la misma alternativa de pago de los 350 .000 pesos.",-0.0803,-0.212,2.7
C056,3,no porque o sea no está seguro por eso le decía porque no estoy segura si los consiga pero entonces la otra cuota que había para cuando si queda dos cuotas,"Permítame, ya le he valido la información La misma fecha, el 15 de septiembre Pero bueno, listo, si usted logra conseguir El valor No, sí, sí me sirve Sí me sirve así ¿Le sirve mejor así? Sí, sí señora Vamos a gestionar el proceso para nuevamente reactivar el acuerdo ¿Listo? Bueno, entonces quedo muy atenta Ya le envío un mensaje de agua Para tener una comunicación más directa Y ya modifico acá en el sistema la fecha de pago para el 18 me solucionan como tal el envío del acuerdo, ¿listo?",-0.2511,0.4146,1.35
C057,1,"No, no, porque si ustedes quieren que yo les dé una sola cuota de no sé cuántos millones, 18 millones de pesos, ¿y dónde tengo yo para darles 18 millones de pesos en una sola cuota?","Entiendo, no tienen toda la capacidad. ¿Y no les gustaría de pronto que yo les ofrezca un descuento total y queríamos un acuerdo de pago así sea cuotas?",-0.7168,-0.0873,1.62
C058,1,"si señor, si no crees que es lo que pasa es que yo no estoy trabajando y he estado lo más enfermo estoy por aquí haciendo unos exámenes he estado muy enfermo entonces yo no he podido porque la hija mía es la que se encargaba para pagar eso",me puedo comunicar posteriormente y volvemos a hablar no se preocupen bueno,-0.9278,,
C060,1,"¿No le llegó en el correo o por WhatsApp? No, no me ha llegado nada.",listo señor entonces le recuerdo que en unos pocos minutos te voy a enviar entonces el acuerdo de pago formalizado que usted realizó por vía llamada exactamente el día 21 de julio a las 3 y 24 le recuerdo que es un acuerdo de pago formalizado por un valor de 4 millones 240 mil donde usted propuso cancelar 250 mil pagos mensuales desea de pronto alguna pregunta o tiene alguna cuestión que realizarme ¿tiene alguna duda sobre esto?,-0.4239,0.0152,1.502
C065,1,"Sí, amigo, pues me interesa. La verdad me interesa soldar eso, hermano, pero ahorita no puedo.",Entiendo perfectamente. Cuénteme qué es lo que le impide comprometerse en este momento.,-0.0331,-0.4788,2.076
C065,2,"¿A dónde quedan las oficinas aquí? Regáleme la dirección, hágame el favor.",Necesito su correo electrónico para enviarle los detalles del acuerdo. ¿Me puede proporcionar su dirección de correo?,-0.0889,,2.97
C066,1,"porque me están haciendo un descuento para que quede en 700 y algo y lo mismo en 3 cotas sino que se colgó y no pude volverme a comunicar pero lamentablemente digamos que esas opciones de descuento ya ahorita no se encuentran disponibles en nuestro sistema lo mínimo son los 977 .920 pesos que pues pagándolo serían tres cuotas de $326 ,000. Sumer, ¿se podría pagar esta cuota para cuándo? ¿Para el 25?","porque me están haciendo un descuento para que quede en 700 y algo y lo mismo en 3 cotas sino que se colgó y no pude volverme a comunicar pero lamentablemente digamos que esas opciones de descuento ya ahorita no se encuentran disponibles en nuestro sistema lo mínimo son los 977 .920 pesos que pues pagándolo serían tres cuotas de $326 ,000. Sumer, ¿se podría pagar esta cuota para cuándo? ¿Para el 25?",,0.2431,
C067,1,No tengo trabajo.,"De verdad, créame que le entiendo. Sé que no es fácil. Vea, como muestra de comprensión con la situación, puedo ayudarle con el máximo descuento que manejo que sería del 7 % de toda la deuda y le comento la propuesta completa con este descuento le puedo ahorrar 220 mil pesos así ya no debería 3 .160 .000",-0.8177,,2.92
C070,1,"Esto, venga, le digo, tengo que decir si hoy y de dónde la voy a sacar.","entiendo completamente y le agradezco su honestidad. Tiene toda la razón en que ha buscado la manera de solucionar esto. Y hoy precisamente estoy llamándole para darle esa oportunidad que no le han dado antes. La propuesta que tenemos para usted es una sola cuota de $13 .900 .000. ¿Hay alguna posibilidad de que pueda reunir ese valor antes del 30 de junio? Te entiendo. Sin embargo, con este descuento del 46%, su deuda a solo $13 .900 .000 y puede pagarla hasta en una cuota. Es el mejor descuento que creo podría conseguir sobre esta deuda. ¿Podrías considerarlo? Por favor, indíqueme con un sí o no.",0.1016,-0.6775,3.341
C070,2,"Hola, venga, ¿y usted no hace como hacen los otros bancos que reban a uno tanto? El","descuento que ya le ofrecimos es del 46%, que es el máximo que el sistema nos aprueba. No podemos ir más allá de eso. Entonces, ¿confirmamos el acuerdo de largo plazo en 500 mil pesos mensuales?",-0.6893,-0.4131,5.13
C070,3,"No, porque mejor no me llame Después yo le echo el lápiz A la cuestión Ya mañana","Claro, con gusto la llamo mañana ¿A qué hora le queda?",-0.0429,0.045,1.89
C071,1,"yo te pregunto por la deuda pero nosotros Yo pagué la mitad, consigné la mitad, y quedé un mes o 20 días consignando la otra mitad. No fui sacando alguna comida de ustedes. Y eso en un año. ¿Vosotros tienen también una semana? Cuando yo pagué. Bueno, creo que tengo una. Pero mire, ahora que no pueden aparecer, ya van a aparecer una o dos otras altísimas.","lastimosamente estas deudas financieras lo que sucede es que cuando se llegan acuerdos, por eso yo les digo a las personas cuando por ejemplo celebran un acuerdo conmigo por favor un estricto cumplimiento en el acuerdo para que no haya ningún tipo de incumplimiento y la deuda continúe creciendo, por eso digamos un ejemplo, yo lo que le puedo ofrecer en caso tal de que digamos, le voy a hacer una pregunta a los dos, en este caso dar esa deuda total de manera mensual a cuotas, ¿qué monto podrían ustedes realizar el pago mensual? Digamos, no me va a afectar, no me voy a comprometer con un millón de pesos porque no puedo, pero sí puedo tanto. Para que, cosa de que podamos congelar la deuda hasta ahí, dar el acuerdo y que ustedes digan si puedo o no puedo.",-0.5055,-0.604,1.434
C073,1,"¿Cuál es el problema? Le comento, es que a mí me pagan hasta el 5 O sea, yo a las 6 de la mañana ya tendría plata Los 5 y los 20 me pagan a mí",Entiendo su situación Déjeme ver qué puedo hacer Perfecto entonces Quedamos así El acuerdo es por 830 mil pesos en total Que pagará en 15 cuotas mensuales De 60 mil pesos cada una La primera cuota se paga el 5 de agosto de 2026 Y la siguiente es cada 5 de mes ¿Estamos de acuerdo señor Rodríguez? Me alegra que lleguemos a este acuerdo de pago Y que pueda aprovechar el descuento del 3 % Precisa de enviarle toda la información del acuerdo Y los canales de pago por correo y whatsapp,-0.3776,0.0236,3.645
C074,1,"El correo, si no, es que yo restauré todo lo del y necesitaría los medios de pago","comprendo, o sea solicitaría el correo es torresgoesjose arroba gmail .com si usted gusta se lo puede solicitar a través de pdf al área de documentación para que sea remitido a través de pdf y allí va a encontrar los medios de pago, recuerde que el agro tiene su plataforma para que usted pueda ingresar y generar su pago correspondiente",-0.0454,,
